Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation
2019-01-01,55,44,49.5,-0.1,15,0,0
2019-01-02,54,38,46,-3.6,19,0,0
2019-01-03,54,39,46.5,-3.1,18,0,0
2019-01-04,63,39,51,1.4,14,0,0
2019-01-05,58,49,53.5,3.9,11,0,0.19
2019-01-06,61,47,54,4.4,11,0,1.64
2019-01-07,66,54,60,10.3,5,0,0
2019-01-08,62,52,57,7.3,8,0,0
2019-01-09,61,55,58,8.3,7,0,0.03
2019-01-10,66,50,58,8.2,7,0,0
2019-01-11,61,50,55.5,5.7,9,0,0.16
2019-01-12,62,56,59,9.1,6,0,0.01
2019-01-13,59,52,55.5,5.6,9,0,0
2019-01-14,57,48,52.5,2.5,12,0,0
2019-01-15,56,48,52,2,13,0,0.57
2019-01-16,63,52,57.5,7.4,7,0,1.16
2019-01-17,62,57,59.5,9.3,5,0,0.03
2019-01-18,64,55,59.5,9.3,5,0,0
2019-01-19,65,57,61,10.7,4,0,0
2019-01-20,58,53,55.5,5.1,9,0,0.25
2019-01-21,58,52,55,4.5,10,0,0.03
2019-01-22,60,43,51.5,0.9,13,0,0
2019-01-23,60,45,52.5,1.8,12,0,0
2019-01-24,65,44,54.5,3.8,10,0,0
2019-01-25,65,44,54.5,3.7,10,0,0
2019-01-26,62,47,54.5,3.6,10,0,0
2019-01-27,68,50,59,8,6,0,0
2019-01-28,64,50,57,5.9,8,0,0
2019-01-29,60,50,55,3.8,10,0,0.01
2019-01-30,60,49,54.5,3.2,10,0,0.14
2019-01-31,59,52,55.5,4.1,9,0,0.35
2019-02-01,59,51,55,3.5,10,0,0.13
2019-02-02,59,49,54,2.4,11,0,0.68
2019-02-03,56,49,52.5,0.7,12,0,0.14
2019-02-04,53,41,47,-4.9,18,0,0.62
2019-02-05,51,41,46,-6,19,0,0.1
2019-02-06,56,40,48,-4.1,17,0,0
2019-02-07,54,38,46,-6.2,19,0,0
2019-02-08,53,44,48.5,-3.8,16,0,0.47
2019-02-09,55,42,48.5,-3.9,16,0,0.35
2019-02-10,51,41,46,-6.5,19,0,0.23
2019-02-11,52,41,46.5,-6.1,18,0,0.01
2019-02-12,54,41,47.5,-5.2,17,0,0.26
2019-02-13,63,47,55,2.2,10,0,1.55
2019-02-14,65,49,57,4.1,8,0,0.94
2019-02-15,53,44,48.5,-4.5,16,0,0.17
2019-02-16,55,44,49.5,-3.6,15,0,0.16
2019-02-17,54,43,48.5,-4.7,16,0,0.2
2019-02-18,56,38,47,-6.3,18,0,0
2019-02-19,56,38,47,-6.4,18,0,0
2019-02-20,56,47,51.5,-2,13,0,0
2019-02-21,57,42,49.5,-4,15,0,0
2019-02-22,55,41,48,-5.6,17,0,0
2019-02-23,56,38,47,-6.7,18,0,0
2019-02-24,56,46,51,-2.8,14,0,0
2019-02-25,56,50,53,-0.9,12,0,0
2019-02-26,59,52,55.5,1.6,9,0,0.61
2019-02-27,59,50,54.5,0.5,10,0,0.57
2019-02-28,56,47,51.5,-2.6,13,0,0
2019-03-01,55,44,49.5,-4.6,15,0,0.05
2019-03-02,57,48,52.5,-1.7,12,0,0.91
2019-03-03,58,50,54,-0.3,11,0,0.01
2019-03-04,56,49,52.5,-1.8,12,0,0.01
2019-03-05,60,49,54.5,0.1,10,0,0.32
2019-03-06,59,50,54.5,0.1,10,0,1.07
2019-03-07,55,47,51,-3.5,14,0,0.08
2019-03-08,58,45,51.5,-3,13,0,0
2019-03-09,56,44,50,-4.6,15,0,0.22
2019-03-10,56,46,51,-3.6,14,0,0.25
2019-03-11,64,41,52.5,-2.2,12,0,0
2019-03-12,58,47,52.5,-2.2,12,0,0
2019-03-13,61,44,52.5,-2.3,12,0,0
2019-03-14,66,43,54.5,-0.3,10,0,0
2019-03-15,67,41,54,-0.9,11,0,0
2019-03-16,69,44,56.5,1.6,8,0,0
2019-03-17,71,47,59,4.1,6,0,0
2019-03-18,72,50,61,6,4,0,0
2019-03-19,69,49,59,4,6,0,0
2019-03-20,62,49,55.5,0.4,9,0,0.56
2019-03-21,61,46,53.5,-1.6,11,0,0
2019-03-22,57,47,52,-3.2,13,0,0.21
2019-03-23,60,50,55,-0.2,10,0,0.2
2019-03-24,63,44,53.5,-1.8,11,0,0
2019-03-25,63,52,57.5,2.2,7,0,0.44
2019-03-26,64,49,56.5,1.1,8,0,0.06
2019-03-27,62,54,58,2.6,7,0,0.04
2019-03-28,63,52,57.5,2,7,0,0.04
2019-03-29,61,47,54,-1.5,11,0,0
2019-03-30,65,47,56,0.4,9,0,0
2019-03-31,70,49,59.5,3.8,5,0,0
2019-04-01,65,50,57.5,1.8,7,0,0.03
2019-04-02,61,53,57,1.2,8,0,0.05
2019-04-03,60,52,56,0.1,9,0,0
2019-04-04,62,52,57,1.1,8,0,0
2019-04-05,62,55,58.5,2.5,6,0,0.07
2019-04-06,67,55,61,4.9,4,0,0
2019-04-07,68,55,61.5,5.4,3,0,0
2019-04-08,71,55,63,6.8,2,0,0.02
2019-04-09,64,52,58,1.7,7,0,0
2019-04-10,65,49,57,0.6,8,0,0
2019-04-11,59,50,54.5,-2,10,0,0
2019-04-12,65,49,57,0.4,8,0,0
2019-04-13,71,49,60,3.4,5,0,0
2019-04-14,60,49,54.5,-2.2,10,0,0
2019-04-15,61,49,55,-1.8,10,0,0.03
2019-04-16,64,50,57,0.1,8,0,0
2019-04-17,70,49,59.5,2.5,5,0,0
2019-04-18,78,50,64,6.9,1,0,0
2019-04-19,67,49,58,0.8,7,0,0
2019-04-20,60,49,54.5,-2.8,10,0,0
2019-04-21,65,47,56,-1.4,9,0,0
2019-04-22,77,48,62.5,5,2,0,0
2019-04-23,88,53,70.5,12.9,0,6,0
2019-04-24,80,55,67.5,9.8,0,3,0
2019-04-25,64,52,58,0.3,7,0,0
2019-04-26,70,50,60,2.2,5,0,0
2019-04-27,67,50,58.5,0.6,6,0,0
2019-04-28,66,49,57.5,-0.5,7,0,0
2019-04-29,66,51,58.5,0.4,6,0,0
2019-04-30,65,52,58.5,0.3,6,0,0
2019-05-01,71,49,60,1.7,5,0,0
2019-05-02,71,49,60,1.6,5,0,0
2019-05-03,66,49,57.5,-1,7,0,0
2019-05-04,64,49,56.5,-2.1,8,0,0
2019-05-05,65,49,57,-1.7,8,0,0
2019-05-06,62,53,57.5,-1.2,7,0,0
2019-05-07,65,52,58.5,-0.3,6,0,0
2019-05-08,67,53,60,1.1,5,0,0
2019-05-09,67,55,61,2,4,0,0
2019-05-10,69,54,61.5,2.4,3,0,0
2019-05-11,66,54,60,0.8,5,0,0
2019-05-12,64,54,59,-0.3,6,0,0
2019-05-13,65,52,58.5,-0.9,6,0,0
2019-05-14,66,55,60.5,1.1,4,0,0
2019-05-15,65,53,59,-0.5,6,0,0.47
2019-05-16,61,53,57,-2.6,8,0,0.29
2019-05-17,63,52,57.5,-2.2,7,0,0
2019-05-18,56,50,53,-6.8,12,0,0.84
2019-05-19,61,50,55.5,-4.4,9,0,0.28
2019-05-20,64,48,56,-3.9,9,0,0.02
2019-05-21,62,52,57,-3,8,0,0.1
2019-05-22,67,52,59.5,-0.6,5,0,0
2019-05-23,71,52,61.5,1.3,3,0,0
2019-05-24,71,53,62,1.7,3,0,0
2019-05-25,68,53,60.5,0.1,4,0,0
2019-05-26,61,52,56.5,-4,8,0,0
2019-05-27,62,52,57,-3.5,8,0,0
2019-05-28,66,52,59,-1.6,6,0,0
2019-05-29,68,52,60,-0.7,5,0,0
2019-05-30,63,52,57.5,-3.3,7,0,0
2019-05-31,67,52,59.5,-1.4,5,0,0
2019-06-01,73,52,62.5,1.5,2,0,0
2019-06-02,71,55,63,1.9,2,0,0
2019-06-03,67,52,59.5,-1.7,5,0,0
2019-06-04,79,52,65.5,4.3,0,1,0
2019-06-05,71,55,63,1.7,2,0,0
2019-06-06,64,52,58,-3.4,7,0,0
2019-06-07,69,50,59.5,-2,5,0,0
2019-06-08,81,52,66.5,4.9,0,2,0
2019-06-09,92,61,76.5,14.8,0,12,0
2019-06-10,100,67,83.5,21.7,0,19,0
2019-06-11,98,67,82.5,20.6,0,18,0
2019-06-12,86,58,72,10,0,7,0
2019-06-13,74,55,64.5,2.5,0,0,0
2019-06-14,68,55,61.5,-0.6,3,0,0
2019-06-15,63,54,58.5,-3.7,6,0,0
2019-06-16,66,54,60,-2.3,5,0,0
2019-06-17,76,54,65,2.6,0,0,0
2019-06-18,70,58,64,1.5,1,0,0
2019-06-19,73,58,65.5,3,0,1,0
2019-06-20,74,56,65,2.4,0,0,0
2019-06-21,72,55,63.5,0.8,1,0,0
2019-06-22,81,54,67.5,4.7,0,3,0
2019-06-23,79,55,67,4.2,0,2,0
2019-06-24,74,55,64.5,1.6,0,0,0
2019-06-25,73,55,64,1,1,0,0
2019-06-26,70,56,63,0,2,0,0
2019-06-27,71,58,64.5,1.4,0,0,0
2019-06-28,70,56,63,-0.1,2,0,0
2019-06-29,70,52,61,-2.2,4,0,0
2019-06-30,69,55,62,-1.2,3,0,0
2019-07-01,70,56,63,-0.3,2,0,0
2019-07-02,69,55,62,-1.3,3,0,0
2019-07-03,71,55,63,-0.4,2,0,0
2019-07-04,73,55,64,0.6,1,0,0
2019-07-05,72,55,63.5,0,1,0,0
2019-07-06,70,55,62.5,-1,2,0,0
2019-07-07,70,55,62.5,-1,2,0,0
2019-07-08,64,56,60,-3.6,5,0,0
2019-07-09,71,58,64.5,0.9,0,0,0
2019-07-10,73,61,67,3.4,0,2,0
2019-07-11,71,58,64.5,0.9,0,0,0
2019-07-12,70,55,62.5,-1.2,2,0,0
2019-07-13,67,55,61,-2.7,4,0,0
2019-07-14,68,55,61.5,-2.2,3,0,0
2019-07-15,77,58,67.5,3.8,0,3,0
2019-07-16,77,58,67.5,3.8,0,3,0
2019-07-17,78,58,68,4.2,0,3,0
2019-07-18,78,58,68,4.2,0,3,0
2019-07-19,76,60,68,4.2,0,3,0
2019-07-20,74,58,66,2.2,0,1,0
2019-07-21,73,58,65.5,1.7,0,1,0
2019-07-22,74,57,65.5,1.7,0,1,0
2019-07-23,71,58,64.5,0.7,0,0,0
2019-07-24,83,55,69,5.1,0,4,0
2019-07-25,70,58,64,0.1,1,0,0
2019-07-26,74,56,65,1.1,0,0,0
2019-07-27,79,56,67.5,3.6,0,3,0
2019-07-28,76,58,67,3.1,0,2,0
2019-07-29,70,58,64,0.1,1,0,0
2019-07-30,71,58,64.5,0.5,0,0,0
2019-07-31,75,55,65,1,0,0,0
2019-08-01,71,58,64.5,0.5,0,0,0
2019-08-02,71,59,65,1,0,0,0
2019-08-03,73,58,65.5,1.4,0,1,0
2019-08-04,73,61,67,2.9,0,2,0
2019-08-05,76,58,67,2.9,0,2,0
2019-08-06,75,58,66.5,2.4,0,2,0
2019-08-07,70,59,64.5,0.3,0,0,0
2019-08-08,72,59,65.5,1.3,0,1,0
2019-08-09,77,61,69,4.8,0,4,0
2019-08-10,76,61,68.5,4.2,0,4,0
2019-08-11,84,58,71,6.7,0,6,0
2019-08-12,86,59,72.5,8.1,0,8,0
2019-08-13,82,58,70,5.6,0,5,0
2019-08-14,94,61,77.5,13.1,0,13,0
2019-08-15,94,61,77.5,13,0,13,0
2019-08-16,80,59,69.5,5,0,5,0
2019-08-17,75,61,68,3.5,0,3,0
2019-08-18,75,61,68,3.4,0,3,0
2019-08-19,71,58,64.5,-0.1,0,0,0
2019-08-20,72,61,66.5,1.8,0,2,0
2019-08-21,79,61,70,5.3,0,5,0
2019-08-22,79,61,70,5.3,0,5,0
2019-08-23,79,58,68.5,3.7,0,4,0
2019-08-24,73,60,66.5,1.7,0,2,0
2019-08-25,73,58,65.5,0.7,0,1,0
2019-08-26,81,55,68,3.1,0,3,0
2019-08-27,74,58,66,1.1,0,1,0
2019-08-28,77,59,68,3.1,0,3,0
2019-08-29,78,63,70.5,5.6,0,6,0
2019-08-30,73,61,67,2,0,2,0
2019-08-31,84,61,72.5,7.5,0,8,0
2019-09-01,77,61,69,4,0,4,0
2019-09-02,72,62,67,2,0,2,0
2019-09-03,73,59,66,1,0,1,0
2019-09-04,74,58,66,1,0,1,0
