Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation
2019-09-05,73,58,65.5,0.5,0,1,0
2019-09-06,71,60,65.5,0.5,0,1,0
2019-09-07,72,61,66.5,1.5,0,2,0
2019-09-08,72,59,65.5,0.5,0,1,0
2019-09-09,75,58,66.5,1.5,0,2,0
2019-09-10,72,58,65,0,0,0,0
2019-09-11,81,57,69,4,0,4,0
2019-09-12,90,61,75.5,10.6,0,11,0
2019-09-13,94,61,77.5,12.6,0,13,0
2019-09-14,75,61,68,3.1,0,3,0
2019-09-15,73,59,66,1.1,0,1,0
2019-09-16,72,61,66.5,1.7,0,2,0.04
2019-09-17,77,57,67,2.2,0,2,0
2019-09-18,77,61,69,4.3,0,4,0
2019-09-19,77,58,67.5,2.8,0,3,0
2019-09-20,83,58,70.5,5.9,0,6,0
2019-09-21,85,61,73,8.4,0,8,0
2019-09-22,75,58,66.5,2,0,2,0
2019-09-23,82,58,70,5.5,0,5,0
2019-09-24,94,61,77.5,13.1,0,13,0
2019-09-25,96,67,81.5,17.2,0,17,0
2019-09-26,79,64,71.5,7.3,0,7,0
2019-09-27,70,58,64,-0.2,1,0,0
2019-09-28,67,55,61,-3.1,4,0,0
2019-09-29,68,52,60,-4,5,0,0
2019-09-30,66,52,59,-4.9,6,0,0.02
2019-10-01,69,50,59.5,-4.3,5,0,0
2019-10-02,76,50,63,-0.7,2,0,0
2019-10-03,68,52,60,-3.6,5,0,0
2019-10-04,73,52,62.5,-1,2,0,0
2019-10-05,80,52,66,2.6,0,1,0
2019-10-06,87,55,71,7.7,0,6,0
2019-10-07,84,55,69.5,6.3,0,5,0
2019-10-08,77,56,66.5,3.5,0,2,0
2019-10-09,72,53,62.5,-0.4,2,0,0
2019-10-10,74,58,66,3.2,0,1,0
2019-10-11,79,52,65.5,2.8,0,1,0
2019-10-12,75,52,63.5,1,1,0,0
2019-10-13,73,52,62.5,0.1,2,0,0
2019-10-14,70,49,59.5,-2.8,5,0,0
2019-10-15,65,49,57,-5.1,8,0,0
2019-10-16,68,52,60,-2,5,0,0
2019-10-17,68,55,61.5,-0.3,3,0,0
2019-10-18,68,55,61.5,-0.1,3,0,0
2019-10-19,71,54,62.5,1,2,0,0
2019-10-20,72,52,62,0.7,3,0,0
2019-10-21,82,53,67.5,6.4,0,3,0
2019-10-22,87,57,72,11,0,7,0
2019-10-23,85,55,70,9.2,0,5,0
2019-10-24,89,64,76.5,15.9,0,12,0
2019-10-25,87,59,73,12.6,0,8,0
2019-10-26,74,52,63,2.8,2,0,0
2019-10-27,69,52,60.5,0.5,4,0,0
2019-10-28,72,52,62,2.2,3,0,0
2019-10-29,70,47,58.5,-1.1,6,0,0
2019-10-30,69,51,60,0.6,5,0,0
2019-10-31,73,49,61,1.8,4,0,0
2019-11-01,73,48,60.5,1.5,4,0,0
2019-11-02,74,48,61,2.2,4,0,0
2019-11-03,74,49,61.5,2.9,3,0,0
2019-11-04,69,49,59,0.6,6,0,0
2019-11-05,67,47,57,-1.2,8,0,0
2019-11-06,62,49,55.5,-2.4,9,0,0
2019-11-07,62,49,55.5,-2.2,9,0,0
2019-11-08,62,52,57,-0.5,8,0,0
2019-11-09,62,49,55.5,-1.8,9,0,0
2019-11-10,64,48,56,-1,9,0,0
2019-11-11,72,47,59.5,2.7,5,0,0
2019-11-12,72,50,61,4.4,4,0,0
2019-11-13,61,49,55,-1.3,10,0,0
2019-11-14,64,50,57,0.9,8,0,0
2019-11-15,67,55,61,5.1,4,0,0
2019-11-16,65,52,58.5,2.8,6,0,0
2019-11-17,74,49,61.5,6.1,3,0,0
2019-11-18,73,52,62.5,7.3,2,0,0
2019-11-19,62,52,57,2,8,0,0
2019-11-20,67,52,59.5,4.7,5,0,0
2019-11-21,62,50,56,1.5,9,0,0
2019-11-22,65,47,56,1.7,9,0,0
2019-11-23,67,47,57,2.9,8,0,0
2019-11-24,67,46,56.5,2.6,8,0,0
2019-11-25,65,47,56,2.3,9,0,0
2019-11-26,56,46,51,-2.5,14,0,0.91
2019-11-27,51,42,46.5,-6.8,18,0,0.23
2019-11-28,53,40,46.5,-6.6,18,0,0
2019-11-29,54,41,47.5,-5.4,17,0,0.05
2019-11-30,56,38,47,-5.7,18,0,0.1
2019-12-01,59,54,56.5,4,8,0,0.25
2019-12-02,58,53,55.5,3.2,9,0,0.2
2019-12-03,61,50,55.5,3.4,9,0,0.09
2019-12-04,56,53,54.5,2.5,10,0,0.3
2019-12-05,60,52,56,4.2,9,0,0
2019-12-06,65,53,59,7.4,6,0,0.49
2019-12-07,66,55,60.5,9,4,0,0.49
2019-12-08,61,52,56.5,5.2,8,0,0.09
2019-12-09,56,49,52.5,1.3,12,0,0
2019-12-10,59,50,54.5,3.5,10,0,0.21
2019-12-11,62,52,57,6.1,8,0,0.06
2019-12-12,65,56,60.5,9.7,4,0,0
2019-12-13,61,53,57,6.3,8,0,0
2019-12-14,59,50,54.5,3.9,10,0,0.02
2019-12-15,58,44,51,0.5,14,0,0
2019-12-16,56,41,48.5,-1.9,16,0,0
2019-12-17,56,42,49,-1.3,16,0,0.01
2019-12-18,59,49,54,3.8,11,0,0.35
2019-12-19,58,51,54.5,4.4,10,0,0
2019-12-20,56,47,51.5,1.5,13,0,0
2019-12-21,62,47,54.5,4.6,10,0,0
2019-12-22,57,47,52,2.1,13,0,0.64
2019-12-23,56,41,48.5,-1.3,16,0,0
2019-12-24,55,44,49.5,-0.3,15,0,0
2019-12-25,55,46,50.5,0.8,14,0,0.04
2019-12-26,58,44,51,1.3,14,0,0
2019-12-27,59,39,49,-0.7,16,0,0
2019-12-28,59,40,49.5,-0.1,15,0,0
2019-12-29,56,49,52.5,2.9,12,0,0.47
2019-12-30,59,47,53,3.4,12,0,0
2019-12-31,57,41,49,-0.6,16,0,0
