Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation
2021-01-01,60,43,51.5,1.9,13,0,0
2021-01-02,54,50,52,2.4,13,0,0.19
2021-01-03,53,49,51,1.4,14,0,0
2021-01-04,62,51,56.5,6.9,8,0,0.3
2021-01-05,58,45,51.5,1.9,13,0,0
2021-01-06,56,42,49,-0.6,16,0,0.02
2021-01-07,58,44,51,1.3,14,0,0
2021-01-08,58,48,53,3.3,12,0,0
2021-01-09,61,42,51.5,1.8,13,0,0
2021-01-10,58,43,50.5,0.7,14,0,0
2021-01-11,61,45,53,3.2,12,0,0
2021-01-12,58,49,53.5,3.6,11,0,0
2021-01-13,68,50,59,9.1,6,0,0
2021-01-14,69,50,59.5,9.5,5,0,0
2021-01-15,63,47,55,5,10,0,0
2021-01-16,67,49,58,7.9,7,0,0
2021-01-17,74,48,61,10.8,4,0,0
2021-01-18,74,50,62,11.8,3,0,0
2021-01-19,66,49,57.5,7.2,7,0,0
2021-01-20,67,47,57,6.6,8,0,0
2021-01-21,58,42,50,-0.5,15,0,0
2021-01-22,55,49,52,1.4,13,0,0.07
2021-01-23,57,46,51.5,0.8,13,0,0
2021-01-24,53,46,49.5,-1.2,15,0,0.15
2021-01-25,54,46,50,-0.8,15,0,0
2021-01-26,52,39,45.5,-5.4,19,0,0.72
2021-01-27,55,47,51,0,14,0,0.77
2021-01-28,54,48,51,-0.1,14,0,0.57
2021-01-29,57,43,50,-1.2,15,0,0.13
2021-01-30,58,47,52.5,1.2,12,0,0
2021-01-31,61,50,55.5,4.1,9,0,0
2021-02-01,65,48,56.5,5,8,0,0.35
2021-02-02,61,51,56,4.4,9,0,0.18
2021-02-03,59,43,51,-0.8,14,0,0
2021-02-04,62,45,53.5,1.6,11,0,0
2021-02-05,67,43,55,3,10,0,0
2021-02-06,67,44,55.5,3.4,9,0,0
2021-02-07,67,44,55.5,3.3,9,0,0
2021-02-08,58,43,50.5,-1.8,14,0,0
2021-02-09,60,51,55.5,3.1,9,0,0
2021-02-10,62,49,55.5,3,9,0,0
2021-02-11,57,45,51,-1.6,14,0,0.43
2021-02-12,60,51,55.5,2.8,9,0,0
2021-02-13,60,50,55,2.2,10,0,0.05
2021-02-14,58,50,54,1.1,11,0,0.01
2021-02-15,59,52,55.5,2.5,9,0,0.14
2021-02-16,58,49,53.5,0.4,11,0,0
2021-02-17,64,44,54,0.8,11,0,0
2021-02-18,65,43,54,0.7,11,0,0
2021-02-19,60,51,55.5,2.1,9,0,0.03
2021-02-20,60,50,55,1.5,10,0,0.06
2021-02-21,64,44,54,0.5,11,0,0
2021-02-22,72,46,59,5.4,6,0,0
2021-02-23,76,50,63,9.3,2,0,0
2021-02-24,71,49,60,6.2,5,0,0
2021-02-25,66,50,58,4.1,7,0,0
2021-02-26,61,47,54,0.1,11,0,0
2021-02-27,61,45,53,-1,12,0,0
2021-02-28,69,48,58.5,4.4,6,0,0
2021-03-01,69,45,57,2.9,8,0,0
2021-03-02,65,44,54.5,0.3,10,0,0
2021-03-03,64,48,56,1.7,9,0,0
2021-03-04,63,45,54,-0.3,11,0,0
2021-03-05,65,46,55.5,1.1,9,0,0.21
2021-03-06,58,47,52.5,-1.9,12,0,0.01
2021-03-07,60,44,52,-2.5,13,0,0
2021-03-08,59,45,52,-2.5,13,0,0
2021-03-09,60,48,54,-0.6,11,0,0.2
2021-03-10,56,45,50.5,-4.1,14,0,0.47
2021-03-11,59,43,51,-3.7,14,0,0.09
2021-03-12,65,43,54,-0.7,11,0,0
2021-03-13,56,50,53,-1.8,12,0,0
2021-03-14,58,47,52.5,-2.3,12,0,0.17
2021-03-15,55,45,50,-4.9,15,0,0.03
2021-03-16,57,43,50,-4.9,15,0,0
2021-03-17,56,43,49.5,-5.4,15,0,0
2021-03-18,58,51,54.5,-0.5,10,0,0.16
2021-03-19,61,51,56,1,9,0,0.01
2021-03-20,58,48,53,-2.1,12,0,0.03
2021-03-21,61,44,52.5,-2.6,12,0,0
2021-03-22,61,49,55,-0.2,10,0,0
2021-03-23,66,47,56.5,1.3,8,0,0
2021-03-24,69,51,60,4.7,5,0,0
2021-03-25,60,48,54,-1.3,11,0,0
2021-03-26,71,45,58,2.6,7,0,0
2021-03-27,77,46,61.5,6.1,3,0,0
2021-03-28,68,48,58,2.5,7,0,0
2021-03-29,63,48,55.5,0,9,0,0
2021-03-30,77,49,63,7.4,2,0,0
2021-03-31,81,54,67.5,11.8,0,3,0
